asset,model,ID_MAE,ID_RMSE,ID_MDA,ID_R2_OOS,OOD_MAE,OOD_RMSE,OOD_MDA,OOD_R2_OOS,MAE_Degradation_Pct,RMSE_Degradation_Pct
sp500,AR,0.006708,0.009866,0.499006,-0.008194,0.009815,0.016393,0.517787,-0.022368,46.301405,66.165452
sp500,ARIMAX,0.00674,0.00988,0.493042,-0.011162,0.009771,0.016422,0.539526,-0.025916,44.966164,66.209128
sp500,Ridge,0.00674,0.00988,0.493042,-0.01113,0.009771,0.016422,0.539526,-0.025884,44.969497,66.209063
sp500,RandomForest,0.006727,0.009876,0.536779,-0.010296,0.009756,0.016435,0.541502,-0.02757,45.032063,66.414262
sp500,MLP,0.006866,0.010008,0.508946,-0.037415,0.0101,0.016637,0.456522,-0.052918,47.117828,66.237905
nasdaq100,AR,0.008937,0.012744,0.540755,-0.007635,0.01187,0.017765,0.511858,0.000767,32.823447,39.401018
nasdaq100,ARIMAX,0.008975,0.012753,0.536779,-0.009155,0.011804,0.017748,0.545455,0.002635,31.523945,39.165738
nasdaq100,Ridge,0.008975,0.012753,0.536779,-0.009141,0.011804,0.017748,0.545455,0.00264,31.52512,39.166335
nasdaq100,RandomForest,0.008978,0.012767,0.542744,-0.011379,0.011821,0.017831,0.539526,-0.006718,31.662116,39.662906
nasdaq100,MLP,0.009215,0.013135,0.538767,-0.070503,0.012233,0.018178,0.51581,-0.046262,32.752392,38.391805
